2013 area unit name,2013 area unit code
Kaikoura Township,581400
Kaikoura Rural,581500
Lake Tennyson,580900
Hanmer Springs,585502
Culverden,585504
Waiau,585505
Amuri,585506
Parnassus,585601
Cheviot,585602
Hurunui,585700
Amberley,585802
Leithfield,585803
Sefton,585805
Okuku,585806
Loburn,585807
Ashley,585808
Camside,586001
Pines-Kairaki Beach,586002
Waikuku,586112
Cust,586114
Mairaki,586115
Woodend,586120
Fernside,586121
Lehmans,586122
Pegasus,586124
Woodend Beach,586126
Coldstream,586127
Ravenswood,586128
Tuahiwi,586129
Woodend West,586130
Rangiora East,586303
Southbrook,586304
Kingsbury,586305
Rangiora North,586306
Rangiora West,586307
Rangiora Central,586308
Kaiapoi South,586403
Mansfield,586404
Courtenay,586405
Kaiapoi East,586407
Kaiapoi North West,586408
Kaiapoi North East,586409
Clarkville,586501
Kaiapoi West,586503
Silverstream,586504
Mandeville,586603
Ohoka,586604
West Eyreton,586605
Eyrewell,586606
Ashley Gorge,586801
Oxford,586802
Halswell South,587302
Oaklands West,587303
Oaklands East,587304
Hornby North,587400
Hornby South,587500
Sockburn,587701
Wigram,587702
Yaldhurst,587811
Broomfield,587812
Paparua,587821
Templeton,587822
Islington,587830
Halswell West,587842
Westmorland,587844
Aidanfield,587845
Halswell Domain,587846
Hendersons Basin,587847
Mcleans Island,587902
Kennedys Bush,587903
Redwood North,588101
Redwood South,588102
Styx Mill,588200
Casebrook,588300
Belfast South,588401
Sawyers Arms,588402
Bishopdale North,588500
Harewood,588600
Bishopdale,588700
Russley,588800
Burnside,588900
Wairarapa,589000
Jellie Park,589100
Bryndwr,589200
Holmwood,589300
Fendalton,589400
Deans Bush,589500
Hawthornden,589601
Merrin,589602
Westburn,589700
Avonhead West,589800
Avonhead,589900
Ilam,590000
Upper Riccarton,590100
Wharenui,590200
Middleton,590300
Belfast,590400
Travis Wetland,590501
Mairehau North,590504
Westhaven,590505
Highfield Park,590506
Prestons,590507
Parklands,590602
Waimairi Beach,590603
Styx,590604
Mona Vale,590701
Riccarton West,590702
Riccarton,590800
Riccarton South,590900
Cashmere West,591101
Cashmere East,591102
Rapaki Track,591200
Heathcote Valley,591300
Cathedral Square,591500
Hagley Park,591600
Avon Loop,591700
Northcote,591800
Papanui,591900
Aorangi,592000
Strowan,592100
Merivale,592200
Rutland,592300
St Albans West,592401
St Albans East,592402
Mairehau,592500
Edgeware,592600
Shirley West,592701
Shirley East,592702
Burwood,592811
Dallington,592812
Travis,592820
Avondale,592900
Wainoni,593000
Aranui,593100
Richmond North,593200
Richmond South,593300
Avonside,593400
Linwood,593501
Phillipstown,593502
Linwood North,593600
Linwood East,593700
Bexley,593800
Bromley,593900
Woolston West,594010
Ferrymead,594020
Woolston South,594100
Ensors,594200
Opawa,594300
St Martins,594400
Waltham,594500
Sydenham,594600
Addington,594700
Barrington North,594800
Barrington South,594900
Spreydon,595000
Hoon Hay,595100
Hoon Hay South,595200
Hillmorton,595300
Somerfield,595400
Beckenham,595500
North Beach,595600
Rawhiti,595700
New Brighton,595800
South Brighton,595900
Mt Pleasant,596000
Moncks Bay,596102
Sumner,596200
Lyttelton,596400
Diamond Harbour,596502
Governors Bay,596503
Quail Island,596504
Port Levy,596600
Akaroa,596800
Akaroa Harbour,596901
Banks Peninsula Eastern Bays,596902
Little River,597101
Darfield,586900
Kirwee,587010
Burnham Military Camp,587020
Malvern,587100
Prebbleton,587848
Trents-Ladbrooks,587849
West Melton,587904
Taitapu,587905
Lincoln,597200
Leeston,597300
Southbridge,597400
Dunsandel,597503
Selwyn-Rakaia,597506
Rolleston North West,597507
Rolleston Central,597508
Rolleston North East,597509
Rolleston South West,597510
Springston,597512
Rolleston South East,597513
Methven,597600
Plains Railway,597712
Ashburton North,597713
Fairton,597714
Ashburton East,597715
Mt Somers,597720
Hinds,597730
Chertsey,597741
Rakaia,597742
Allenton West,597811
Allenton East,597812
Ashburton Central West,597820
Netherby,597830
Ashburton Central East,597840
Hampstead,597850
Tinwald,597860
Winchester,598000
Fairview-Scarborough,598201
Otipua Creek-Washdyke Flat,598202
Ben Mcleod,598311
Orari,598312
Levels,598313
Pareora,598314
Pleasant Point,598320
Geraldine,598500
Temuka,598600
Washdyke,598700
Waimataitai,598800
Marchwiel,598900
Maori Park,599000
Highfield,599100
Glenwood,599200
Gleniti,599300
Fraser Park,599400
Seaview,599500
Watlington,599600
Parkside,599700
Timaru Gardens,599800
Redruth,599900
Twizel Community,600100
Fairlie,600200
Mt Cook,600312
Lake Tekapo,600320
Mackenzie,600323
Waihao,600410
St Andrews,600420
Waimate,600500
Weston,600600
Pukeuri,600811
Ardgowan,600812
Cape Wanbrow,600813
Duntroon,600822
Kurow,600824
Maheno,600826
Omarama,600827
Kakanui,600828
Otematata,600830
Aviemore,600831
Hampden,600840
Oamaru North,601010
Orana Park,601020
Oamaru Central,601030
Oamaru South,601040
Palmerston,601200
Waihemo,601301
Nenthorn,601700
