2013 area unit name,WGS84 longitude of centroid of area unit,WGS84 latitude of centroid of area unit
Abbotsford,170.42864,-45.89492
Alexandra,169.38244,-45.24811
Andersons Bay,170.53457,-45.89768
Aramoana,170.66205,-45.78941
Ardgowan,170.93766,-45.08107
Arrowtown,168.83176,-44.94304
Arthurs Point,168.67278,-44.9894
Aviemore,170.04136,-44.54486
Balclutha,169.73742,-46.239
Balmacewen,170.49329,-45.85348
Belleknowes,170.47937,-45.8766
Benhar,169.79171,-46.22472
Brighton,170.343,-45.94181
Broad Bay-Portobello,170.64692,-45.84647
Brockville,170.46439,-45.87017
Bruce,169.89103,-46.11283
Bush Road,170.34027,-45.87259
Caledonian,170.49948,-45.89075
Cape Wanbrow,170.94759,-45.11851
Caversham,170.4792,-45.89524
Clinton,169.37716,-46.20121
Clutha,169.41466,-46.28562
Clyde,169.32612,-45.19094
Company Bay,170.60834,-45.85527
Concord,170.45455,-45.90302
Corstorphine East,170.47877,-45.90333
Corstorphine West,170.46618,-45.90015
Cromwell,169.19731,-45.04412
Dunstan,169.37992,-45.05977
Duntroon,170.70246,-44.85471
East Taieri,170.34694,-45.89303
Evansdale,170.53848,-45.65629
Fairfield,170.39734,-45.90016
Fernhill,170.49688,-45.88359
Forbury,170.49055,-45.90052
Forrester Park,170.55839,-45.83776
Frankton,168.73702,-45.02353
Frankton East,168.72072,-45.00564
Glenleith,170.49865,-45.84035
Glenorchy,168.35592,-44.72735
Green Island,170.42718,-45.90396
Halfway Bush,170.46741,-45.85693
Hampden,170.81799,-45.32548
Harbourside,170.51094,-45.88305
Hawea,169.34035,-44.34259
Helensburgh,170.48275,-45.84562
High St-Stuart St,170.4948,-45.87634
Hyde,170.25939,-45.32584
Inner Peninsula,170.56053,-45.89372
Jacks Point,168.78367,-45.08674
Kaikorai Hill,170.42412,-45.8802
Kaitangata,169.8489,-46.28041
Kaka Point,169.77982,-46.38506
Kakanui,170.88725,-45.18786
Karitane,170.65258,-45.63589
Kelvin Heights,168.71374,-45.0408
Kenmure,170.4665,-45.88685
Kingston South,168.51302,-45.19619
Kurow,170.47325,-44.73959
Lake Hayes,168.81433,-44.97938
Lake Hayes South,168.78261,-45.00508
Lawrence,169.68826,-45.9169
Macandrew Bay,170.60346,-45.86968
Maheno,170.74436,-45.11154
Maniototo,169.96264,-45.12972
Maori Hill,170.5011,-45.85866
Matukituki,168.95484,-44.53935
Middlemarch,170.12263,-45.50577
Milton,169.96415,-46.11705
Mornington,170.48096,-45.88638
Mosgiel East,170.35993,-45.86745
Mosgiel South,170.34914,-45.88036
Musselburgh,170.52571,-45.90219
Naseby,170.14398,-45.02538
Nenthorn,170.46679,-45.49148
North Dunedin,170.51794,-45.85905
North East Valley,170.53008,-45.8486
Oamaru Central,170.96099,-45.09696
Oamaru North,170.98344,-45.07207
Oamaru South,170.95899,-45.10901
Omarama,169.94219,-44.48261
Opoho,170.54106,-45.85564
Orana Park,170.97517,-45.08525
Otago University,170.51793,-45.86626
Otematata,170.21224,-44.61221
Outer Wakatipu,168.71178,-44.82412
Outram,170.23021,-45.86063
Owaka,169.65975,-46.45308
Palmerston,170.709,-45.48451
Pine Hill,170.53447,-45.83211
Port Chalmers,170.62156,-45.81702
Pukeuri,171.02543,-45.04786
Queenstown Bay,168.65285,-45.0284
Queenstown Hill,168.6858,-45.02594
Ranfurly,170.1064,-45.12659
Ravensbourne,170.55019,-45.86206
Roslyn North,170.49522,-45.86504
Roslyn South,170.48557,-45.87043
Roxburgh,169.31475,-45.54608
Saddle Hill,170.39139,-45.92213
Sandymount,170.63122,-45.88186
Sawyers Bay,170.60134,-45.8169
South Dunedin,170.50028,-45.89669
St Clair,170.47751,-45.91118
St Kilda Central,170.50464,-45.90548
St Kilda East,170.51357,-45.90328
St Kilda West,170.49477,-45.9076
St Leonards-Blanket Bay,170.57902,-45.83629
Stirling,169.78134,-46.24737
Strath Taieri,170.10397,-45.62482
Stuart St-Frederick St,170.50683,-45.87075
Sunshine Bay,168.62986,-45.03941
Taiaroa-Cape Saunders,170.71086,-45.83478
Taieri,170.24872,-45.86533
Tapanui,169.26189,-45.94333
Teviot,169.42687,-45.58232
Tuapeka,169.49485,-45.84219
Vauxhall,170.53384,-45.88771
Waihemo,170.53205,-45.36537
Waikouaiti,170.67766,-45.6001
Waitati,170.5816,-45.74919
Wakari,170.48301,-45.8606
Wakatipu Basin,168.78514,-44.97416
Waldronville,170.40267,-45.92413
Wanaka,169.14759,-44.68994
Warrington,170.59351,-45.70387
Wingatui,170.37794,-45.87415
Woodhaugh,170.50629,-45.85091
Wyllies Crossing,170.34251,-45.86125
